Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
1885,4.126564830649445,25.950778882123053,69.9226562872275
1886,4.116066514369378,25.919706650285434,69.96422683534519
1887,4.056372967901434,25.682362237407713,70.26126479469086
1888,3.989377493256132,25.48877761105367,70.5218448956902
1889,3.9884930703216424,25.50756732230612,70.50393960737223
1890,3.9703095841728215,24.907692046151986,71.12199836967518
1891,3.9189487312949196,24.53626285438669,71.5447884143184
1892,3.9412247558187814,24.50994644063465,71.54882880354657
1893,3.9668926121724386,24.41034690829621,71.62276047953135
1894,3.9468205223515733,24.2786507276099,71.77452875003854
1895,3.9174107991748772,24.096492373418343,71.98609682740677
1896,3.9068596110093083,23.969311268443892,72.1238291205468
1897,3.8782490200670203,23.80838400094936,72.31336697898362
1898,3.847360739492071,23.650869455274577,72.50176980523334
1899,3.7690521726689084,23.346633155481182,72.8843146718499
1900,3.684201500668185,22.947123159421338,73.36867533991047
1901,3.6630501851140376,22.835818390208072,73.5011314246779
1902,3.6442108256856414,22.684105733269135,73.6716834410452
1903,3.583044247499581,22.462492449267373,73.95446330323306
1904,3.579501632642675,22.359478569564196,74.06101979779312
1905,3.536125463102293,22.109246051703856,74.35462848519386
1906,3.5157236319295437,22.0769059267464,74.40737044132406
1907,3.3863657952356583,21.570546417251162,75.04308778751317
1908,3.446915737291288,21.71455214753159,74.83853211517713
1909,3.428112601851388,21.661579771286302,74.91030762686232
1910,3.4216421444085023,21.680944673791327,74.89741318180016
1911,3.444451083812928,21.789862336494703,74.76568657969237
1912,3.456311885067743,21.76500102967156,74.77868708526071
1913,3.40970263446181,21.514353070742008,75.07594429479617
1914,3.621698243058956,22.047340527789274,74.33096122915177
1915,3.7369250108813854,22.327860355713515,73.93521463340511
1916,3.721951058920319,22.192618874149808,74.08543006692987
1917,3.7368783965541996,22.111216165071536,74.15190543837426
1918,3.8386770127533505,22.115761363832863,74.04556162341378
1919,4.1333675505275895,23.033706753646268,72.83292569582613
1920,3.904768721860468,22.10785033786086,73.98738094027867
1921,4.113395917040766,22.455422307710833,73.4311817752484
1922,4.052295535148391,22.33675823543145,73.61094622942016
1923,3.9367833977735125,22.0686667421495,73.994549860077
1924,3.943573236140912,22.086235036670484,73.9701917271886
1925,3.965106234926721,22.054466831814796,73.98042693325849
1926,4.081389504020497,22.33509314350123,73.58351735247828
1927,3.9369190230278677,22.027098959269388,74.03598201770275
1928,3.9757774979793505,22.11061974183945,73.91360276018119
1929,3.8804956042613665,21.89232581184817,74.22717858389046
1930,4.013008008830573,22.477598815830195,73.50939317533923
1931,4.175540482666163,23.080291545558303,72.74416797177552
1932,4.326538852070792,23.646263152861398,72.02719799506781
1933,4.2556998894856495,23.502442900308747,72.2418572102056
1934,4.124363745097894,23.217253127160696,72.65838312774142
1935,4.064005267217592,23.14459564180584,72.79139909097657
1936,3.9272422776884577,22.850019799125608,73.22273792318595
1937,3.8326318286563277,22.64188645837085,73.52548171297282
1938,3.9305316038747256,23.05418626290881,73.01528213321646
1939,3.8721298434778957,22.967227994884016,73.1606421616381
1940,3.729852754396191,22.34868625645445,73.92146098914937
1941,3.796194536521736,22.248931768570422,73.95487369490785
1942,4.074669530339391,22.42143532809359,73.50389514156703
1943,4.418107931565876,22.553993704333422,73.0278983641007
1944,4.868129546019851,22.65327682940686,72.47859362457329
1945,5.844991899486285,24.173526857372526,69.98148124314119
1946,6.116622355770912,23.79556579383049,70.08781185039858
1947,6.305666737245715,23.499589491016398,70.19474377173788
1948,6.56242286552729,23.31238169413099,70.12519544034171
1949,6.91801165309692,23.81184817915577,69.27014016774731
1950,6.588758660998513,22.617671157589076,70.7935701814124
1951,6.407323124586653,22.405950907601945,71.18672596781141
1952,6.394282983348923,22.4798645457828,71.12585247086828
1953,6.358562417544213,22.516628375299007,71.12480920715679
1954,6.310603402028928,22.532198159520075,71.15719843845099
1955,6.079132871202381,22.262237215125815,71.65862991367182
1956,5.935710186133149,22.010875927083685,72.05341388678318
1957,5.887994996781962,22.02811730210365,72.08388770111439
1958,5.882973672195672,22.049965422560938,72.0670609052434
1959,5.7667993338532355,21.908897966656095,72.32430269949066
1960,5.896667744372353,22.332772619963666,71.77055963566397
1961,6.268444483762373,22.852464061952173,70.87909145428546
1962,6.387261759492889,22.96572470562725,70.64701353487986
1963,6.4477055837745505,23.033030663524194,70.51926375270126
1964,6.50735793738398,22.948753270883614,70.54388879173241
1965,6.671667465803818,23.259248601274486,70.0690839329217
1966,6.77959099860793,23.513142067530115,69.70726693386196
1967,6.858051492768624,23.26678312196713,69.87516538526425
1968,6.824255506110726,22.896429867181233,70.27931462670803
1969,6.7604572017430185,22.806713508197674,70.4328292900593
1970,6.483426063825489,22.258060824399216,71.2585131117753
1971,6.323467934876708,21.847552904332233,71.82897916079106
1972,6.341847317148881,21.59496403805492,72.0631886447962
1973,6.339354998554185,21.428902066774718,72.23174293467109
1974,6.446963075199304,21.62561389960215,71.92742302519855
1975,6.557180078005788,21.82309484786883,71.61972507412538
1976,6.485553566528946,21.313232234661022,72.20121419881004
1977,6.481776726464315,21.128932159561607,72.38929111397408
1978,6.493075993094999,20.953915378381936,72.55300862852306
1979,6.5613073053885795,21.047153139578437,72.39153955503298
1980,6.603801381131527,21.036693025700238,72.35950559316824
1981,6.5596963133442,20.891436209015435,72.54886747764036
1982,6.632015674480078,21.220707320388264,72.14727700513166
1983,6.592931046985752,20.96275775404162,72.44431119897263
1984,6.436877072827837,20.480829326036467,73.08229360113569
1985,6.351261376597324,20.43819838860137,73.2105402348013
1986,6.266323335711839,20.454516851314665,73.2791598129735
1987,6.235369441688319,20.294103565209358,73.47052699310231
1988,6.0596106482355605,20.151191607785695,73.78919774397875
1989,6.076971509065749,20.402989282276348,73.5200392086579
1990,5.979330422893111,20.386622748930712,73.63404682817618
1991,5.887205314366003,20.099674251771788,74.01312043386221
1992,5.994394939236381,20.499926631007753,73.50567842975586
1993,5.941568599922699,20.477323077101058,73.58110832297623
1994,5.946237770554174,20.345203618077083,73.70855861136873
1995,6.009884890102287,20.295148049375,73.69496706052271
1996,5.982262150684641,20.063838156551743,73.95389969276361
1997,5.6835120644930655,19.193630849805626,75.12285708570131
1998,5.886616653837142,19.906493601576216,74.20688974458665
1999,5.826344838314408,19.762775138515547,74.41088002317004
2000,5.79235521169543,19.846904704997172,74.36074008330739
2001,5.820634112204404,19.910848404890558,74.26851748290504
2002,5.754107910876922,19.442907239724587,74.80298484939848
2003,5.5276612876212186,19.100239744062083,75.37209896831669
2004,5.590054178330932,19.099219327462922,75.31072649420615
2005,5.577329428395064,19.23746422736197,75.18520634424296
2006,5.467298556220231,18.998445534482432,75.53425590929733
2007,5.581982576447825,19.024354017747118,75.39366340580507
2008,5.4291265745363395,18.96676900943263,75.60410441603102
2009,5.430205799412319,19.030322449047567,75.5394717515401
2010,5.327996203889369,18.676277956508507,75.99572583960213
2011,5.387299194136861,18.606723144284814,76.00597766157833
2012,5.404305308497032,18.66563257047538,75.93006212102759
2013,5.383666775405349,18.652344172542698,75.96398905205196
2014,5.383540485663932,18.62452922138791,75.99193029294817
2015,5.346075557647708,18.51374198579585,76.14018245655643
2016,5.4721366491076,18.873743529138,75.65411982175439
2017,5.516699831136479,18.97406517556489,75.50923499329863
2018,5.4458189376422315,18.934622983429044,75.61955807892873
2019,5.411911717571296,18.891143400757233,75.69694488167147
2020,5.701681477812941,19.785051092836543,74.51326742935052
2021,5.592080079398901,19.318505446046267,75.08941447455484
