Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
1900,1651962992.2160497,10289284728.4039,32897857630.063
1901,1667457340.8524272,10395094548.2173,33458455375.004
1902,1684874924.0487885,10487834747.39435,34061578207.107
1903,1703818355.1943963,10681421800.80118,35167015342.479
1904,1723890241.3831427,10768338965.67607,35667833793.399
1905,1744693219.4333253,10908507652.14347,36685920085.48
1906,1765829900.2748053,11088488366.07988,37372323106.638
1907,1786902856.2653027,11382252637.44937,39598411990.558
1908,1807514799.0456436,11386809934.65634,39244288125.052
1909,1827268317.9788253,11546154701.00546,39929036094.873
1910,1845765904.8211894,11695538801.03861,40402556952.422
1911,1867482479.3729832,11813837720.786499,40535808565.267
1912,1896163187.0785224,11940471546.41557,41024247331.88
1913,1930317733.838951,12179812058.91312,42502365218.668
1914,1968450447.088921,11983079319.8256,40400056560.342
1915,2009074791.0181978,12004078553.20019,39749627154.937
1916,2050697223.8128603,12227549796.8417,40819125065.902
1917,2091826504.3954978,12377397150.831789,41508688452.493004
1918,2130970993.9553354,12277158463.44744,41105032678.29
1919,2166640562.739168,12073875055.297,38177773736.914
1920,2197341478.1776905,12440812760.24476,41635126836.487
1921,2226713928.5676675,12155844619.11481,39750667951.205
1922,2258724330.614675,12450370131.1556,41030283651.775
1923,2292369113.488349,12850473318.94929,43086653119.307
1924,2326646093.698882,13030530789.0949,43641248007.007
1925,2360553329.214366,13129722640.29399,44042891349.475
1926,2393087777.2808304,13095990557.50236,43145065133.353
1927,2423247872.705674,13558094637.63743,45570542568.613
1928,2450030468.185395,13625433532.309181,45548469165.549
1929,2472433549.777926,13948558725.44805,47293383462.317
1930,2489453574.9582634,13943889123.9224,45601260010.116
1931,2503200772.4958253,13836437190.85205,43609505935.204
1932,2516765364.9804015,13755128094.09993,41898515984.39
1933,2530615643.957954,13975527226.83605,42958004265.385
1934,2545220488.7883906,14327792601.43388,44838820445.643
1935,2561047746.4811554,14585220887.82785,45871556838.013
1936,2578565616.07982,15002964221.35901,48076900016.233
1937,2598243251.161414,15349538206.1391,49844883409.033
1938,2620548124.4461865,15370593767.09804,48680453417.926
1939,2645949194.393742,15694235696.37785,49992988358.842
1940,2674915292.146426,16027668265.53997,53013794226.762
1941,2771888672.7007666,16245627392.293541,54000045233.129
1942,2982942701.030946,16414056737.75055,53809985295.082
1943,3280964700.435238,16748992633.0364,54231802479.906
1944,3638847155.279224,16932953646.6086,54176562422.224
1945,4029483354.803967,16665005832.98504,48244585905.85
1946,4425762795.055556,17217595537.5552,50712960851.946
1947,4800576869.866486,17890508722.19207,53440068652.28
1948,5126817062.318462,18212528921.38155,54784498934.156
1949,5377376386.545797,18508969995.92144,53843739315.474
1950,5525144329.213169,18966531324.94964,59365460621.274
1951,5616089035.880718,19639061864.6664,62395946549.654
1952,5714460504.036422,20089867529.7109,63563948580.178
1953,5820574535.2137375,20611532156.7849,65107051894.444
1954,5934750224.324887,21190203148.997,66919147424.025
1955,6057303741.027122,22182297315.0681,71401315985.237
1956,6188552254.496866,22948468097.4195,75122656425.336
1957,6328813980.761659,23677305573.0526,77480622269.5165
1958,6478404781.921486,24281699935.163498,79361156109.56061
1959,6637642110.801145,25217354606.225502,83245975703.424
1960,6861735734.598223,25987827461.58825,83516764907.46
1961,7224358258.183239,26337377302.0494,81687881420.456
1962,7481111095.201019,26898715658.435898,82745654820.41049
1963,7725934282.098929,27599225633.3427,84499391341.0705
1964,7995796779.722105,28197859909.906,86679510218.6685
1965,8309709127.920348,28969907658.2038,87272591046.662
1966,8658036341.05027,30028011801.1182,89021306812.2535
1967,8976811057.03138,30454935517.9174,91462736595.626
1968,9263842636.463785,31081620996.8201,95403302340.8
1969,9457063780.292871,31903839907.4967,98527028416.19
1970,9483877871.837967,32558824369.1623,104236098172.15799
1971,9453747027.166937,32662652906.174698,107386169298.09799
1972,9773841124.447273,33281430006.2636,111061355077.208
1973,10092839929.185364,34116795552.1458,114999620531.106
1974,10220737527.707365,34284316656.5741,114030637869.32
1975,10462291508.160133,34819781856.298996,114272664856.82199
1976,10714060034.38786,35209214964.7022,119275576949.056
1977,10937055143.093245,35651998810.8038,122146396288.296
1978,11119824447.02963,35884973583.138,124251852267.086
1979,11463656963.32265,36772754638.1639,126479638565.954
1980,11498901003.475689,36630243186.0218,125996338086.976
1981,11252087181.79747,35835845189.7539,124445727790.546
1982,11340785584.239576,36287533606.4843,123372265561.794
1983,11421297023.242384,36314938079.7254,125499264280.332
1984,11545793718.826761,36736359559.6879,131087338917.714
1985,11598472260.69529,37323590230.7929,133694768606.544
1986,11573068263.447603,37776780279.9172,135336891087.394
1987,11718294124.33648,38139243679.2771,138075097686.924
1988,11646403182.0245,38730029978.2194,141820786398.998
1989,11770542627.58565,39518739674.6784,142401647629.3
1990,11736368576.35974,40015336448.4718,144530616678.358
1991,11642785035.237045,39749961840.2334,146371462346.624
1992,11592500305.573936,39644602690.2048,142151894944.532
1993,11506276679.074356,39655814960.2084,142495130112.294
1994,11652970466.136843,39870934536.6284,144448252784.844
1995,11942144658.620195,40328159075.543396,146438072166.476
1996,12125601420.73552,40667910955.4984,149899066372.556
1997,12046483666.98205,40681845647.2986,159226594512.498
1998,11929132814.87091,40340185205.8414,150379053979.102
1999,11949054102.660141,40530808920.871796,152606763914.208
2000,12034633212.15836,41235423207.3052,154497471163.428
2001,12058623668.96736,41249359299.3606,153862291550.104
2002,12199032594.44988,41220057534.8819,158586537561.28198
2003,12221144383.22937,42228851501.6686,166640692334.326
2004,12589660251.57805,43014374231.8657,169611318533.708
2005,12664224391.96754,43681759672.9026,170720115482.55798
2006,12793114631.30521,44455097712.3284,176745130067.68
2007,13141511159.29086,44788524005.3222,177497270086.018
2008,12961420928.95468,45280999331.7395,180496182551.52
2009,12839555739.29468,44996616122.3099,178610773495.13
2010,13053567593.69188,45756800000.3259,186189198737.56
2011,13554678297.80592,46815321983.899704,191234334457.264
2012,13722294895.42589,47394678857.0615,192797157890.866
2013,13670029781.35856,47361419450.3356,192885265001.224
2014,13810957934.81706,47779447431.9138,194950025072.956
2015,13857482079.94831,47989192265.3329,197361822252.28
2016,13969400638.63089,48181341551.895096,193131637150.44
2017,14227500120.37865,48933877650.1475,194737376119.944
2018,14196787340.33362,49360953594.5235,197133763922.264
2019,14255989202.87984,49762810334.9973,199399932083.22
2020,14388548364.98744,49928808836.6212,188038871763.09
2021,14644935195.82174,50592669690.075,196649474481.4635
